FUND TYPE	FUND CODE	DEPARTMENT CODE	ORGANIZATION CODE	DIVISION CODE	SECTION CODE	SUBSECTION CODE	SCHEDULE	TITLE CODE	TITLE DESCRIPTION	FUND NAME	DEPARTMENT	DEPARTMENT NAME	DIVISION NAME	SECTION NAME	SUBSECTION NAME	BUDGETED UNIT	TOTAL BUDGETED UNITS	POSITION CONTROL	BUDGETED PAY RATE	TOTAL BUDGETED AMOUNT
Local	300	25	1005	2005	3030	0	1	15	Schedule Salary Adjustments	VEHICLE FUND	CITY CLERK	CITY CLERK	City Clerk	Vehicle License Data Services		Annual	0	0	2485	2485
Local	610	27	1005	2005	3030	0	1	15	Schedule Salary Adjustments	MIDWAY AIRPORT FUND	DEPT OF FIN	DEPARTMENT OF FINANCE	City Comptroller	Auditing		Annual	0	0	2389	2389
Local	610	27	1005	2005	3030	0	G	102	Accountant II	MIDWAY AIRPORT FUND	DEPT OF FIN	DEPARTMENT OF FINANCE	City Comptroller	Auditing		Annual	1	1	73932	73932
Local	100	28	1005	2005	3015	0	G	104	Accountant IV	CORPORATE FUND	TREAS	CITY TREASURER	City Treasurer	Financial Reporting		Annual	1	1	76536	76536
Local	100	28	1005	2005	3015	0	G	104	Accountant IV	CORPORATE FUND	TREAS	CITY TREASURER	City Treasurer	Financial Reporting		Annual	1	1	88140	88140
Local	100	32	1005	2005	3010	0	GY	1367	Assistant Compliance Officer	CORPORATE FUND	COMP	OFFICE OF COMPLIANCE	Office of Compliance	Law Compliance		Annual	0	0	53844	0
Local	100	3	1005	2005	3020	0	3	152	Senior Auditor - IG	CORPORATE FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Investigations		Annual	1	1	76500	76500
Local	314	3	1005	2005	3320	0	1	15	Schedule Salary Adjustments	SEWER FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Investigations		Annual	0	0	1512	1512
Local	314	3	1005	2005	3320	0	BX	1255	Investigator	SEWER FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Investigations		Annual	1	1	54492	54492
Local	314	3	1005	2005	3320	0	3	1260	Chief Investigator - IGO	SEWER FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Investigations		Annual	1	1	102552	102552
Local	314	3	1005	2005	3320	0	3	1260	Chief Investigator - IGO	SEWER FUND	IG	INSPECTOR GENERAL	Office of Inspector General	Investigations		Annual	1	1	105828	105828
Local	100	15	1005	2005	3005	0	1	9603	Assistant Council Committee Secretary	CORPORATE FUND	CC	CITY COUNCIL	City Council	City Council		Annual	1	1	63588	63588
Local	100	15	1005	2005	3005	0	1	9603	Assistant Council Committee Secretary	CORPORATE FUND	CC	CITY COUNCIL	City Council	City Council		Annual	1	1	66048	66048
Local	100	15	1005	2005	3005	0	1	9607	Secretary to President Pro-Tem	CORPORATE FUND	CC	CITY COUNCIL	City Council	City Council		Annual	2	1	31404	62808
Local	100	15	1005	2005	3005	0	1	9611	Assistant Sergeant-At-Arms	CORPORATE FUND	CC	CITY COUNCIL	City Council	City Council		Annual	1	1	55776	55776
Local	100	15	1005	2005	3005	0	1	9611	Assistant Sergeant-At-Arms	CORPORATE FUND	CC	CITY COUNCIL	City Council	City Council		Annual	1	1	59688	59688
Local	100	15	1005	2005	3005	0	1	9611	Assistant Sergeant-At-Arms	CORPORATE FUND	CC	CITY COUNCIL	City Council	City Council		Annual	1	1	69684	69684
Local	100	15	1005	2005	3005	0	1	9611	Assistant Sergeant-At-Arms	CORPORATE FUND	CC	CITY COUNCIL	City Council	City Council		Annual	1	1	89928	89928
Local	100	15	1005	2005	3005	0	1	9619	Sergeant at Arms	CORPORATE FUND	CC	CITY COUNCIL	City Council	City Council		Annual	1	1	91980	91980
Local	100	15	1005	2005	3005	0	1	9625	Staff Assistant to the Alderman	CORPORATE FUND	CC	CITY COUNCIL	City Council	City Council		Annual	100	1	0	0
Local	100	15	1005	2005	3005	0	1	9645	Assistant to the Alderman	CORPORATE FUND	CC	CITY COUNCIL	City Council	City Council		Annual	50	1	0	0
Local	100	15	1005	2005	3005	0	1	9699	Legislative Aide	CORPORATE FUND	CC	CITY COUNCIL	City Council	City Council		Annual	2	1	41220	82440
Local	100	15	1010	2010	3010	0	1	9604	Secretary of Committee on Finance	CORPORATE FUND	CC	CITY COUNCIL	Committee on Finance	Administration		Annual	1	1	49836	49836
Local	100	1	1005	2005	3005	0	1	9637	Administrative Assistant	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Executive		Annual	1	1	76632	76632
Local	100	1	1005	2005	3005	0	1	9637	Administrative Assistant	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Executive		Annual	1	1	80004	80004
Local	100	1	1005	2005	3010	0	1	9876	Scheduler	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Administrative		Annual	1	1	61920	61920
Local	100	1	1005	2005	3015	0	1	744	Press Aide II	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Office of the Press Secretary		Annual	1	1	40008	40008
Local	100	1	1005	2005	3015	0	1	925	Photographer	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Office of the Press Secretary		Annual	1	1	62640	62640
Local	100	1	1005	2005	3015	0	1	925	Photographer	CORPORATE FUND	OM	OFFICE OF THE MAYOR	Office of the Mayor	Office of the Press Secretary		Annual	1	1	80640	80640
